Date,Merchant,Category,Amount
2023-11-16,McDonald's,restaurant,61.15
2023-11-16,Starbucks,restaurant,37.19
2023-11-18,Olive Garden,restaurant,148.55
2023-11-19,Kroger,grocery,145.37
2023-11-19,76 Gas,transportation,72.73
2023-11-21,Chick-fil-A,restaurant,106.1
2023-11-21,Olive Garden,restaurant,117.81
2023-11-24,Red Lobster,restaurant,104.0
2023-11-24,The Cheesecake Factory,restaurant,75.52
2023-11-26,Target,grocery,236.95
2023-11-26,Chipotle,restaurant,13.35
2023-11-27,Panera Bread,restaurant,32.38
2023-12-02,Starbucks,restaurant,25.15
2023-12-03,Kroger,grocery,169.4
2023-12-03,BP Gas,transportation,40.04
2023-12-03,Comfort Inn,hotel,350.7
2023-12-04,Olive Garden,restaurant,139.01
2023-12-04,McDonald's,restaurant,139.1
2023-12-09,Panera Bread,restaurant,58.58
2023-12-10,Walmart,grocery,233.74
2023-12-11,Taco Bell,restaurant,121.04
2023-12-12,Chick-fil-A,restaurant,134.5
2023-12-13,The Cheesecake Factory,restaurant,22.88
2023-12-16,The Cheesecake Factory,restaurant,17.73
2023-12-17,Trader Joes,grocery,136.7
2023-12-17,Chevron,transportation,21.15
2023-12-17,Chick-fil-A,restaurant,128.14
2023-12-18,Panera Bread,restaurant,62.24
2023-12-23,Starbucks,restaurant,106.65
2023-12-24,Trader Joes,grocery,205.55
2023-12-26,Chick-fil-A,restaurant,108.63
2023-12-27,McDonald's,restaurant,13.33
2023-12-28,Taco Bell,restaurant,69.08
2023-12-31,Target,grocery,149.66
2023-12-31,Shell Gas Station,transportation,25.41
2024-01-01,Chick-fil-A,restaurant,74.95
2024-01-01,The Cheesecake Factory,restaurant,81.89
2024-01-02,Starbucks,restaurant,15.98
2024-01-07,Trader Joes,grocery,116.6
2024-01-08,The Cheesecake Factory,restaurant,52.58
2024-01-11,Sheraton,hotel,208.45
2024-01-11,Taco Bell,restaurant,75.26
2024-01-13,Olive Garden,restaurant,46.17
2024-01-14,Costco,grocery,163.06
2024-01-14,Metro Transit,transportation,33.31
2024-01-15,Starbucks,restaurant,79.78
2024-01-19,Olive Garden,restaurant,147.93
2024-01-19,Taco Bell,restaurant,138.32
2024-01-21,Costco,grocery,94.62
2024-01-22,Chick-fil-A,restaurant,36.28
2024-01-24,Panera Bread,restaurant,11.05
2024-01-26,Chipotle,restaurant,77.26
2024-01-28,Walmart,grocery,156.26
2024-01-28,Chevron,transportation,61.28
2024-02-01,Subway,restaurant,100.73
2024-02-01,Starbucks,restaurant,87.24
2024-02-03,Subway,restaurant,71.71
2024-02-03,Chipotle,restaurant,87.7
2024-02-04,Safeway,grocery,196.93
2024-02-07,Subway,restaurant,83.71
2024-02-08,Olive Garden,restaurant,117.61
2024-02-09,Chick-fil-A,restaurant,62.63
2024-02-10,Chick-fil-A,restaurant,40.98
2024-02-11,Target,grocery,189.7
2024-02-11,Lyft,transportation,59.7
2024-02-15,Subway,restaurant,71.27
2024-02-16,Chipotle,restaurant,22.68
2024-02-17,Starbucks,restaurant,147.65
2024-02-18,Whole Foods,grocery,131.6
2024-02-19,Subway,restaurant,83.02
2024-02-20,Panera Bread,restaurant,24.62
2024-02-22,Red Lobster,restaurant,149.81
2024-02-25,Kroger,grocery,100.62
2024-02-25,Uber,transportation,30.16
2024-02-25,Sheraton,hotel,435.3
2024-02-25,Amtrak,transportation,363.75
2024-02-28,Taco Bell,restaurant,91.18
2024-03-01,Panera Bread,restaurant,59.6
2024-03-02,Chipotle,restaurant,62.91
2024-03-03,Kroger,grocery,194.35
2024-03-06,Red Lobster,restaurant,75.17
2024-03-07,Olive Garden,restaurant,76.04
2024-03-07,Chick-fil-A,restaurant,103.29
2024-03-08,Olive Garden,restaurant,97.63
2024-03-10,Walmart,grocery,186.18
2024-03-10,Metro Transit,transportation,54.74
2024-03-13,Taco Bell,restaurant,76.58
2024-03-13,McDonald's,restaurant,111.71
2024-03-15,Panera Bread,restaurant,63.22
2024-03-16,Chick-fil-A,restaurant,51.64
2024-03-17,Aldi,grocery,179.85
2024-03-17,Starbucks,restaurant,122.53
2024-03-18,Panera Bread,restaurant,126.23
2024-03-20,McDonald's,restaurant,149.12
2024-03-22,Panera Bread,restaurant,91.75
2024-03-24,Whole Foods,grocery,154.53
2024-03-24,Chevron,transportation,65.54
2024-03-26,Olive Garden,restaurant,104.55
2024-03-26,McDonald's,restaurant,71.02
2024-03-27,Subway,restaurant,88.74
2024-03-31,Aldi,grocery,111.28
2024-04-01,The Cheesecake Factory,restaurant,42.69
2024-04-01,Subway,restaurant,68.59
2024-04-01,Taco Bell,restaurant,129.19
2024-04-04,The Cheesecake Factory,restaurant,74.88
2024-04-07,Whole Foods,grocery,96.62
2024-04-07,Uber,transportation,34.62
2024-04-07,Chipotle,restaurant,97.68
2024-04-08,The Cheesecake Factory,restaurant,140.2
2024-04-13,Panera Bread,restaurant,34.42
2024-04-14,Whole Foods,grocery,113.46
2024-04-15,Amtrak,transportation,536.06
2024-04-15,Red Lobster,restaurant,104.46
2024-04-16,Marriott,hotel,407.65
2024-04-18,Olive Garden,restaurant,28.76
2024-04-18,Olive Garden,restaurant,107.81
2024-04-20,The Cheesecake Factory,restaurant,88.96
2024-04-21,Aldi,grocery,101.49
2024-04-21,Metro Transit,transportation,63.05
2024-04-26,Taco Bell,restaurant,40.06
2024-04-27,Red Lobster,restaurant,16.38
2024-04-27,Chick-fil-A,restaurant,144.0
2024-04-28,Trader Joes,grocery,106.27
2024-05-01,McDonald's,restaurant,143.51
2024-05-02,Chick-fil-A,restaurant,86.0
2024-05-02,Olive Garden,restaurant,104.63
2024-05-03,Taco Bell,restaurant,59.27
2024-05-05,Whole Foods,grocery,221.19
2024-05-05,Shell Gas Station,transportation,70.45
2024-05-05,McDonald's,restaurant,62.72
2024-05-06,Taco Bell,restaurant,138.92
2024-05-10,The Cheesecake Factory,restaurant,83.21
2024-05-11,Taco Bell,restaurant,71.13
2024-05-12,Walmart,grocery,224.79
2024-05-12,Chick-fil-A,restaurant,119.32
2024-05-16,Olive Garden,restaurant,75.36
2024-05-17,Subway,restaurant,95.19
2024-05-18,Hyatt,hotel,359.11
2024-05-18,Red Lobster,restaurant,125.31
2024-05-19,Target,grocery,120.0
2024-05-19,Amtrak,transportation,51.4
2024-05-20,Chick-fil-A,restaurant,11.55
2024-05-20,Chipotle,restaurant,33.81
2024-05-25,Red Lobster,restaurant,39.47
2024-05-26,Trader Joes,grocery,104.38
2024-05-26,McDonald's,restaurant,149.19
2024-05-29,McDonald's,restaurant,143.92
2024-06-01,McDonald's,restaurant,13.77
2024-06-01,Subway,restaurant,90.04
2024-06-02,Walmart,grocery,212.27
2024-06-02,Uber,transportation,18.55
2024-06-03,Red Lobster,restaurant,111.3
2024-06-03,Red Lobster,restaurant,69.93
2024-06-06,Chipotle,restaurant,118.58
2024-06-09,Costco,grocery,203.36
2024-06-10,The Cheesecake Factory,restaurant,144.28
2024-06-12,Red Lobster,restaurant,74.6
2024-06-13,Olive Garden,restaurant,148.1
2024-06-16,Safeway,grocery,109.91
2024-06-16,Lyft,transportation,49.8
2024-06-17,Chipotle,restaurant,24.11
2024-06-18,The Cheesecake Factory,restaurant,29.8
2024-06-20,Panera Bread,restaurant,91.82
2024-06-23,Trader Joes,grocery,207.38
2024-06-23,Sheraton,hotel,372.07
2024-06-24,Amtrak,transportation,753.0
2024-06-24,Amtrak,transportation,394.51
2024-06-25,Taco Bell,restaurant,73.09
2024-06-26,McDonald's,restaurant,78.59
2024-06-27,Panera Bread,restaurant,55.79
2024-06-28,Chick-fil-A,restaurant,48.28
2024-06-30,Aldi,grocery,125.83
2024-06-30,76 Gas,transportation,58.99
2024-06-30,Panera Bread,restaurant,86.78
2024-07-01,Panera Bread,restaurant,87.92
2024-07-02,Chipotle,restaurant,83.38
2024-07-04,Olive Garden,restaurant,59.37
2024-07-07,Costco,grocery,217.09
2024-07-09,Taco Bell,restaurant,105.01
2024-07-11,The Cheesecake Factory,restaurant,45.68
2024-07-13,Taco Bell,restaurant,100.64
2024-07-13,The Cheesecake Factory,restaurant,149.78
2024-07-14,Whole Foods,grocery,240.09
2024-07-14,Amtrak,transportation,42.99
2024-07-14,Olive Garden,restaurant,30.4
2024-07-15,Chick-fil-A,restaurant,54.79
2024-07-15,Olive Garden,restaurant,135.82
2024-07-21,Kroger,grocery,191.34
2024-07-22,Subway,restaurant,53.69
2024-07-22,Panera Bread,restaurant,109.76
2024-07-24,Hyatt,hotel,190.1
2024-07-24,Starbucks,restaurant,108.47
2024-07-24,Subway,restaurant,63.03
2024-07-28,Whole Foods,grocery,144.79
2024-07-28,Amtrak,transportation,71.35
2024-07-29,Taco Bell,restaurant,143.39
2024-08-02,Taco Bell,restaurant,13.34
2024-08-02,Chick-fil-A,restaurant,129.14
2024-08-04,Trader Joes,grocery,190.97
2024-08-04,Subway,restaurant,17.97
2024-08-06,McDonald's,restaurant,36.75
2024-08-07,The Cheesecake Factory,restaurant,108.78
2024-08-11,Target,grocery,124.7
2024-08-11,Chevron,transportation,70.82
2024-08-14,Subway,restaurant,56.46
2024-08-16,Olive Garden,restaurant,8.85
2024-08-16,Taco Bell,restaurant,44.45
2024-08-16,Red Lobster,restaurant,56.99
2024-08-18,Walmart,grocery,154.35
2024-08-18,Red Lobster,restaurant,130.78
2024-08-20,Red Lobster,restaurant,94.55
2024-08-21,Taco Bell,restaurant,32.82
2024-08-21,Chipotle,restaurant,52.66
2024-08-25,Safeway,grocery,118.62
2024-08-25,Chevron,transportation,17.14
2024-08-26,Chick-fil-A,restaurant,105.43
2024-08-27,Olive Garden,restaurant,137.99
2024-08-28,Chick-fil-A,restaurant,60.31
2024-09-01,Kroger,grocery,185.63
2024-09-03,Taco Bell,restaurant,60.59
2024-09-04,McDonald's,restaurant,84.46
2024-09-06,Chipotle,restaurant,45.02
2024-09-08,Kroger,grocery,224.41
2024-09-08,Metro Transit,transportation,34.33
2024-09-08,Starbucks,restaurant,133.07
2024-09-09,McDonald's,restaurant,17.82
2024-09-10,McDonald's,restaurant,50.85
2024-09-15,Trader Joes,grocery,248.22
2024-09-16,Hilton,hotel,296.1
2024-09-17,Panera Bread,restaurant,144.59
2024-09-19,Subway,restaurant,13.4
2024-09-21,Chick-fil-A,restaurant,53.97
2024-09-22,Safeway,grocery,224.0
2024-09-22,BP Gas,transportation,26.49
2024-09-22,Chick-fil-A,restaurant,105.14
2024-09-22,Chipotle,restaurant,71.02
2024-09-26,The Cheesecake Factory,restaurant,146.03
2024-09-29,Walmart,grocery,183.48
2024-10-02,Olive Garden,restaurant,127.66
2024-10-04,Panera Bread,restaurant,114.92
2024-10-04,Olive Garden,restaurant,65.77
2024-10-06,Safeway,grocery,113.81
2024-10-06,Lyft,transportation,27.23
2024-10-06,The Cheesecake Factory,restaurant,134.45
2024-10-08,The Cheesecake Factory,restaurant,21.64
2024-10-09,Olive Garden,restaurant,36.75
2024-10-12,Starbucks,restaurant,141.77
2024-10-13,Trader Joes,grocery,116.11
2024-10-14,Red Lobster,restaurant,75.74
2024-10-16,McDonald's,restaurant,98.84
2024-10-16,Starbucks,restaurant,87.55
2024-10-18,Radisson,hotel,428.26
2024-10-18,Taco Bell,restaurant,80.07
2024-10-20,Safeway,grocery,164.28
2024-10-20,Chevron,transportation,69.49
2024-10-24,Red Lobster,restaurant,26.14
2024-10-25,Chipotle,restaurant,23.96
2024-10-26,Panera Bread,restaurant,80.27
2024-10-27,Aldi,grocery,191.43
2024-10-27,Olive Garden,restaurant,129.49
2024-10-27,Red Lobster,restaurant,75.56
2024-10-29,Panera Bread,restaurant,115.31
2024-11-01,Red Lobster,restaurant,13.73
2024-11-03,Aldi,grocery,146.84
2024-11-03,Amtrak,transportation,49.03
2024-11-03,The Cheesecake Factory,restaurant,149.19
2024-11-05,Panera Bread,restaurant,144.81
2024-11-05,Chipotle,restaurant,139.54
2024-11-09,Starbucks,restaurant,17.22
2024-11-10,Safeway,grocery,207.95
2024-11-11,Subway,restaurant,17.31
2024-11-11,McDonald's,restaurant,27.38
2024-11-11,McDonald's,restaurant,56.63
2024-11-14,Starbucks,restaurant,118.5
2024-11-17,Whole Foods,grocery,88.69
2024-11-17,Uber,transportation,72.68
2024-11-19,The Cheesecake Factory,restaurant,146.31
2024-11-21,Subway,restaurant,90.86
2024-11-22,Subway,restaurant,117.3
2024-11-22,Starbucks,restaurant,22.92
2024-11-24,Aldi,grocery,186.93
2024-11-25,Red Lobster,restaurant,44.2
2024-11-27,Starbucks,restaurant,100.52
2024-11-27,Starbucks,restaurant,14.31
2024-11-29,Panera Bread,restaurant,61.27
2024-12-01,Costco,grocery,117.7
2024-12-01,Chevron,transportation,42.19
2024-12-02,Hilton,hotel,429.08
2024-12-03,Panera Bread,restaurant,139.9
2024-12-05,Red Lobster,restaurant,137.12
2024-12-05,Chipotle,restaurant,59.96
2024-12-08,Safeway,grocery,97.48
2024-12-12,Olive Garden,restaurant,70.74
2024-12-13,Subway,restaurant,42.5
2024-12-14,Subway,restaurant,108.35
2024-12-15,Costco,grocery,210.71
2024-12-15,Metro Transit,transportation,29.82
2024-12-15,Olive Garden,restaurant,101.07
2024-12-17,Panera Bread,restaurant,106.06
2024-12-19,Starbucks,restaurant,133.4
2024-12-22,Walmart,grocery,141.6
2024-12-23,Chick-fil-A,restaurant,30.83
2024-12-25,Red Lobster,restaurant,58.13
2024-12-26,Red Lobster,restaurant,35.8
2024-12-26,Chick-fil-A,restaurant,99.69
2024-12-29,Whole Foods,grocery,243.31
2024-12-29,Lyft,transportation,71.3
